# Corpus pinned by upstream commit. Regenerate: scripts/manifest.py
# Never edit by hand; baseline/*.tsv numbers are only valid against these bytes.
# origin	aman	https://github.com/hhu-stups/AMAN-abstraction-example@1376af673eab5f96c0408328ba76dde2e07b65e4 Abstraction/
# origin	ertms	https://github.com/eventB-Soton/ERTMS-HL3@6b81638c95ab6cd2397c846ed78f78e6adb5780f developments/HL3_abz2018.zip HL3/
project	file	bytes	sha256
aman	M9_Mouse_Ctx.bpo	5640	5a925c148398a26a61f43afe96e068d1c2d9ac1219655d838ae7c297e4adaba6
aman	M9_Mouse_Ctx.bps	64	cc3713fd1d32c68ba2854244857aeb0cd0d116046563b176bca02961234b6922
aman	M9_Mouse_Ctx.buc	1920	5ddcd819af8d91c707b4b4785fe6a9bc942354c3156d40c46dd94b82778d3766
aman	M9_Mouse_prob_mc_Ctx.bpo	7393	17a6817a9e214312302940b3d3e1a8414996d5861b70d4b1aca89f6e8d5f9056
aman	M9_Mouse_prob_mc_Ctx.bps	64	cc3713fd1d32c68ba2854244857aeb0cd0d116046563b176bca02961234b6922
aman	M9_Mouse_prob_mc_Ctx.buc	619	f39adf81e30a628c6efd48827fea9960d70caba228c89d6c2578cc07d2a8209b
aman	M9_Push_Mouse_Button_prob_mc.bpo	82795	cd65b4a70934a9c30b11869cb4c2d17756f98237171546f54484232a71e86349
aman	M9_Push_Mouse_Button_prob_mc.bps	64	cc3713fd1d32c68ba2854244857aeb0cd0d116046563b176bca02961234b6922
aman	M9_Push_Mouse_Button_prob_mc.bum	13282	5dbfb32010c60ebca2e6dfa9c28d5a141458425f9c2a8ce56037ab5b93c03ae8
aman	M9_Push_Mouse_Buttons.bpo	465779	ac6bd8be47ba23d8b78af2914398c491026c7fb25f823cc05eb45e18f1113b6d
aman	M9_Push_Mouse_Buttons.bps	33912	bab776035d29ae6794b7336ab5f012d084403d3f5bca5007020510841516959c
aman	M9_Push_Mouse_Buttons.bum	45452	99f351586f0d6c7ce4f11dd394dfff85aef9b04d3a8516a6c6bf1ff5bdf5349b
aman	MAbs.bpo	498232	ea3d2b7cd11160280e8449752850cbc490a886ec7b44131fba30be93a2a85766
aman	MAbs.bps	45831	59bf225d41f0ce4433b40ce45bd417cfe183808ef84c1c5e87794116349a11c5
aman	MAbs.bum	72135	f1634ff574ec8a3e75279d3d843492f6467e0c328142a1ad7dbeaa327d6d32fa
aman	MAbs_Ctx.bpo	5995	d085f8ebd81575b61c19f375597f5d470b0c6cf55d983e84ace9d9e26fb55bfa
aman	MAbs_Ctx.bps	64	cc3713fd1d32c68ba2854244857aeb0cd0d116046563b176bca02961234b6922
aman	MAbs_Ctx.buc	904	1a8816a2b08eb3a160435601b3f3bf8ccb59051de4f58d4b3ff9150a9e4c0e8c
aman	MAbs_helper.bpo	675626	837caf560c54ef6102b77cd9e726c188afdf99620579cc92c91c92117fcf0977
aman	MAbs_helper.bps	53519	8f43a5ad38ffe61c18ae25a365674dd37659454f10a186730d14e2220d1e4cd4
aman	MAbs_helper.bum	81708	a611eb3eddb88744cca7ba91728c100fc9e67d8f8041addde26b354ba30d2921
