M0_AMAN_Update	INV	INITIALISATION/inv0,1/INV	derived	no-sequent	pinned-bpo-omits-plain-type-invariant
M0_AMAN_Update	INV	AMAN_Update/inv0,1/INV	derived	no-sequent	pinned-bpo-omits-plain-type-invariant
M1_Landing_Sequence	GRD	AMAN_Update/grd0,1/GRD	derived	no-sequent	pinned-bpo-omits-refinement-guard-sequent
M1_Landing_Sequence	WFIS	AMAN_Update/newScheduledAirplanes/WFIS	derived	no-sequent	pinned-bpo-omits-witness-feasibility-sequent
M5_AMAN_Timeout	INV	INITIALISATION/inv5,1/INV	derived	no-sequent	pinned-bpo-omits-plain-type-invariant
M5_AMAN_Timeout	INV	AMAN_Update/inv5,1/INV	derived	no-sequent	pinned-bpo-omits-plain-type-invariant
M5_AMAN_Timeout	INV	AMAN_Timeout/inv5,1/INV	derived	no-sequent	pinned-bpo-omits-plain-type-invariant
M7_Interaction_Pauses_Updates	INV	INITIALISATION/dragging_airplane_type/INV	derived	no-sequent	pinned-bpo-omits-plain-type-invariant
M7_Interaction_Pauses_Updates	INV	Move_Aircraft/dragging_airplane_type/INV	derived	no-sequent	pinned-bpo-omits-plain-type-invariant
M7_Interaction_Pauses_Updates	INV	selectAirplane/dragging_airplane_type/INV	derived	no-sequent	pinned-bpo-omits-plain-type-invariant
M7_Interaction_Pauses_Updates	INV	resume_dragging_airplane/dragging_airplane_type/INV	derived	no-sequent	pinned-bpo-omits-plain-type-invariant
M7_Interaction_Pauses_Updates	INV	stop_dragging_airplane/dragging_airplane_type/INV	derived	no-sequent	pinned-bpo-omits-plain-type-invariant
M8_Interaction_Events	SIM	INITIALISATION/act1,1/SIM	derived	no-sequent	pinned-bpo-omits-refinement-action-sequent
M8_Interaction_Events	SIM	INITIALISATION/act2,1/SIM	derived	no-sequent	pinned-bpo-omits-refinement-action-sequent
M8_Interaction_Events	SIM	INITIALISATION/act3,1/SIM	derived	no-sequent	pinned-bpo-omits-refinement-action-sequent
M8_Interaction_Events	SIM	INITIALISATION/act6,1/SIM	derived	no-sequent	pinned-bpo-omits-refinement-action-sequent
M8_Interaction_Events	SIM	INITIALISATION/act5,1/SIM	derived	no-sequent	pinned-bpo-omits-refinement-action-sequent
M8_Interaction_Events	SIM	INITIALISATION/act7,1/SIM	derived	no-sequent	pinned-bpo-omits-refinement-action-sequent
M8_Interaction_Events	SIM	AMAN_Update/act1,1/SIM	derived	no-sequent	pinned-bpo-omits-refinement-action-sequent
M8_Interaction_Events	SIM	AMAN_Update/act2,1/SIM	derived	no-sequent	pinned-bpo-omits-refinement-action-sequent
M8_Interaction_Events	SIM	AMAN_Update/act3,1/SIM	derived	no-sequent	pinned-bpo-omits-refinement-action-sequent
M8_Interaction_Events	SIM	AMAN_Update/act5,1/SIM	derived	no-sequent	pinned-bpo-omits-refinement-action-sequent
M8_Interaction_Events	SIM	AMAN_Update/act7,1/SIM	derived	no-sequent	pinned-bpo-omits-refinement-action-sequent
M8_Interaction_Events	WD	AMAN_Update/inv1,2/WD	derived	no-sequent	pinned-bpo-omits-definedness-sequent
M8_Interaction_Events	SIM	AMAN_Timeout/act5,1/SIM	derived	no-sequent	pinned-bpo-omits-refinement-action-sequent
M8_Interaction_Events	SIM	AMAN_Timeout/act7,1/SIM	derived	no-sequent	pinned-bpo-omits-refinement-action-sequent
M8_Interaction_Events	SIM	Move_Aircraft/act1,1/SIM	derived	no-sequent	pinned-bpo-omits-refinement-action-sequent
M8_Interaction_Events	SIM	Hold_Button/act2,1/SIM	derived	no-sequent	pinned-bpo-omits-refinement-action-sequent
M8_Interaction_Events	SIM	Hold_Button/act6,1/SIM	derived	no-sequent	pinned-bpo-omits-refinement-action-sequent
M8_Interaction_Events	WD	Hold_Button/grd6,1/WD	derived	no-sequent	pinned-bpo-omits-definedness-sequent
M8_Interaction_Events	SIM	changeZoom/act6,1/SIM	derived	no-sequent	pinned-bpo-omits-refinement-action-sequent
M8_Interaction_Events	SIM	changeZoom/selectedAirplane/SIM	derived	no-sequent	pinned-bpo-omits-refinement-action-sequent
M8_Interaction_Events	SIM	selectAirplane/act6,1/SIM	derived	no-sequent	pinned-bpo-omits-refinement-action-sequent
M8_Interaction_Events	SIM	deselectAirplane/act6,1/SIM	derived	no-sequent	pinned-bpo-omits-refinement-action-sequent
M9_Push_Mouse_Buttons	INV	INITIALISATION/is_mouse_pressed/INV	derived	no-sequent	pinned-bpo-omits-plain-type-invariant
M9_Push_Mouse_Buttons	INV	INITIALISATION/current_mouse_selection/INV	derived	no-sequent	pinned-bpo-omits-plain-type-invariant
M9_Push_Mouse_Buttons	INV	Move_Mouse_Hold/current_mouse_selection/INV	derived	no-sequent	pinned-bpo-omits-plain-type-invariant
M9_Push_Mouse_Buttons	INV	Move_Mouse_Zoom_Zooming/current_mouse_selection/INV	derived	no-sequent	pinned-bpo-omits-plain-type-invariant
M9_Push_Mouse_Buttons	INV	Move_Mouse_Zoom_Not_Zooming/current_mouse_selection/INV	derived	no-sequent	pinned-bpo-omits-plain-type-invariant
M9_Push_Mouse_Buttons	INV	Move_Mouse_Block/current_mouse_selection/INV	derived	no-sequent	pinned-bpo-omits-plain-type-invariant
M9_Push_Mouse_Buttons	INV	Move_Mouse_Airplane/current_mouse_selection/INV	derived	no-sequent	pinned-bpo-omits-plain-type-invariant
M9_Push_Mouse_Buttons	INV	Move_Mouse_Nothing/current_mouse_selection/INV	derived	no-sequent	pinned-bpo-omits-plain-type-invariant
M9_Push_Mouse_Buttons	INV	AMAN_Update_mouse_to_nothing/current_mouse_selection/INV	derived	no-sequent	pinned-bpo-omits-plain-type-invariant
M9_Push_Mouse_Buttons	INV	AMAN_Update_mouse_to_airplane/current_mouse_selection/INV	derived	no-sequent	pinned-bpo-omits-plain-type-invariant
M9_Push_Mouse_Buttons	INV	Move_Aircraft/is_mouse_pressed/INV	derived	no-sequent	pinned-bpo-omits-plain-type-invariant
M9_Push_Mouse_Buttons	INV	Click_Hold_Button/is_mouse_pressed/INV	derived	no-sequent	pinned-bpo-omits-plain-type-invariant
M9_Push_Mouse_Buttons	INV	Release_Trigger_Hold_Button/is_mouse_pressed/INV	derived	no-sequent	pinned-bpo-omits-plain-type-invariant
M9_Push_Mouse_Buttons	INV	Release_Abort_Hold_Button/is_mouse_pressed/INV	derived	no-sequent	pinned-bpo-omits-plain-type-invariant
M9_Push_Mouse_Buttons	INV	Click_Block_Time/is_mouse_pressed/INV	derived	no-sequent	pinned-bpo-omits-plain-type-invariant
M9_Push_Mouse_Buttons	INV	Release_Trigger_Block_Time/is_mouse_pressed/INV	derived	no-sequent	pinned-bpo-omits-plain-type-invariant
